   Step   Time    Walltime(s) Profile
  75000  15.0000     4.2664   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     5.6775   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     7.0897   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     8.5013   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     9.9037   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000    11.2782   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000    12.6572   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000    14.0358   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    15.4129   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    16.7914   ████████████████████████████████████████████████
 325000  65.0000    18.1733   ████████████████████████████████████████████████
 350000  70.0000    19.5518   ████████████████████████████████████████████████
 375000  75.0000    20.9324   ████████████████████████████████████████████████
 400000  80.0000    22.3125   ████████████████████████████████████████████████
 425000  85.0000    23.6918   ████████████████████████████████████████████████
 450000  90.0000    25.0719   ████████████████████████████████████████████████
 475000  95.0000    26.4521   ████████████████████████████████████████████████
 500000 100.0000    27.8302   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0013   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     1.3439   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     2.6929   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     4.0463   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     5.3952   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     6.7459   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     8.0993   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     9.4489   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000    10.8012   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000    12.1559   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000    13.5063   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    14.8614   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    16.2142   ████████████████████████████████████████████████
 325000  65.0000    17.5662   ████████████████████████████████████████████████
 350000  70.0000    18.9195   ████████████████████████████████████████████████
 375000  75.0000    20.2697   ████████████████████████████████████████████████
 400000  80.0000    21.6194   ████████████████████████████████████████████████
 425000  85.0000    22.9727   ████████████████████████████████████████████████
 450000  90.0000    24.3235   ████████████████████████████████████████████████
 475000  95.0000    25.6704   ████████████████████████████████████████████████
 500000 100.0000    27.0204   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0016   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     1.2070   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     2.4033   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     3.6010   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     4.7981   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     5.9957   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     7.1938   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     8.3921   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000     9.5916   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000    10.7901   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000    11.9883   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    13.1869   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    14.3856   ████████████████████████████████████████████████
 325000  65.0000    15.5846   ████████████████████████████████████████████████
 350000  70.0000    16.7827   ████████████████████████████████████████████████
 375000  75.0000    17.9816   ████████████████████████████████████████████████
 400000  80.0000    19.1803   ████████████████████████████████████████████████
 425000  85.0000    20.3792   ████████████████████████████████████████████████
 450000  90.0000    21.5777   ████████████████████████████████████████████████
 475000  95.0000    22.7776   ████████████████████████████████████████████████
 500000 100.0000    23.9758   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0015   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     1.1339   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     2.2639   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     3.3950   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     4.5248   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     5.6546   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     6.7847   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     7.9166   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000     9.0467   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000    10.1766   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000    11.3073   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    12.4363   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    13.5649   ████████████████████████████████████████████████
 325000  65.0000    14.6946   ████████████████████████████████████████████████
 350000  70.0000    15.8232   ████████████████████████████████████████████████
 375000  75.0000    16.9506   ████████████████████████████████████████████████
 400000  80.0000    18.0802   ████████████████████████████████████████████████
 425000  85.0000    19.2098   ████████████████████████████████████████████████
 450000  90.0000    20.3398   ████████████████████████████████████████████████
 475000  95.0000    21.4696   ████████████████████████████████████████████████
 500000 100.0000    22.5995   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0018   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     1.0728   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     2.1269   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     3.1812   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     4.2356   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     5.2898   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     6.3432   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     7.3985   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000     8.4533   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000     9.5084   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000    10.5627   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    11.6169   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    12.6747   ████████████████████████████████████████████████
 325000  65.0000    13.7314   ████████████████████████████████████████████████
 350000  70.0000    14.7879   ████████████████████████████████████████████████
 375000  75.0000    15.8456   ████████████████████████████████████████████████
 400000  80.0000    16.9025   ████████████████████████████████████████████████
 425000  85.0000    17.9595   ████████████████████████████████████████████████
 450000  90.0000    19.0166   ████████████████████████████████████████████████
 475000  95.0000    20.0738   ████████████████████████████████████████████████
 500000 100.0000    21.1314   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0013   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     1.0329   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     2.0526   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     3.0730   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     4.0927   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     5.1110   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     6.1305   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     7.1501   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000     8.1704   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000     9.1904   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
